_time,weekNumber,yearNumber,ACC81011ADEV,ACC81011AOUT,ACC81011APV,ACC81011ASP
2025-06-30 17:33:34,27,2025,49935,51242,18440,148
2025-06-30 17:33:35,27,2025,56267,52246,19444,148
2025-06-30 17:33:36,27,2025,60387,53250,20448,148
2025-06-30 17:33:37,27,2025,1183,54254,21452,148
2025-06-30 17:33:38,27,2025,6409,55258,22456,148
2025-06-30 17:33:39,27,2025,10529,56260,23458,148
2025-06-30 17:33:40,27,2025,16861,57264,24462,148
2025-06-30 17:33:41,27,2025,22087,58266,25464,148
2025-06-30 17:33:42,27,2025,26207,59270,26468,148
2025-06-30 17:33:43,27,2025,32539,60274,27472,148
2025-06-30 17:33:44,27,2025,37765,61278,28476,148
2025-06-30 17:33:45,27,2025,45203,62286,29484,148
2025-06-30 17:33:46,27,2025,49323,63290,30488,148
2025-06-30 17:33:47,27,2025,56761,64296,31494,148
2025-06-30 17:33:48,27,2025,30440,65300,32498,148
2025-06-30 17:33:49,27,2025,838,768,33502,148
2025-06-30 17:33:50,27,2025,36219,1772,34506,148
2025-06-30 17:33:51,27,2025,15729,2774,35508,148
2025-06-30 17:33:52,27,2025,15729,3778,36512,149
2025-06-30 17:33:53,27,2025,39322,4782,37516,149
2025-06-30 17:33:54,27,2025,41921,5786,38520,149
2025-06-30 17:33:55,27,2025,38660,6788,39522,149
2025-06-30 17:33:56,27,2025,56439,7792,40526,149
2025-06-30 17:33:57,27,2025,36974,8796,41530,149
2025-06-30 17:33:58,27,2025,12945,9798,42532,149
2025-06-30 17:33:59,27,2025,54452,10802,43536,149
2025-06-30 17:34:00,27,2025,10900,11804,44538,149
2025-06-30 17:34:02,27,2025,36228,12808,45542,149
2025-06-30 17:34:03,27,2025,4868,13824,46558,149
2025-06-30 17:34:04,27,2025,30196,14828,47562,149
2025-06-30 17:34:05,27,2025,51100,15830,48564,149
2025-06-30 17:34:06,27,2025,2044,16834,49568,149
2025-06-30 17:34:07,27,2025,46454,17838,50572,149
2025-06-30 17:34:08,27,2025,56906,18842,51576,149
2025-06-30 17:34:09,27,2025,1822,19846,52580,149
2025-06-30 17:34:10,27,2025,12274,20848,53582,149
2025-06-30 17:34:11,27,2025,22726,21852,54586,149
2025-06-30 17:34:12,27,2025,41202,22866,55600,149
2025-06-30 17:34:13,27,2025,27062,23870,56604,149
2025-06-30 17:34:14,27,2025,15134,24882,57616,149
2025-06-30 17:34:15,27,2025,994,25886,58620,149
2025-06-30 17:34:16,27,2025,56814,26900,59634,149
2025-06-30 17:34:17,27,2025,40462,27904,60638,149
2025-06-30 17:34:18,27,2025,28534,28908,61642,149
2025-06-30 17:34:19,27,2025,12182,29912,62646,149
2025-06-30 17:34:20,27,2025,63578,30916,63650,149
2025-06-30 17:34:21,27,2025,49438,31920,64654,149
2025-06-30 17:34:22,27,2025,33086,32924,122,149
2025-06-30 17:34:23,27,2025,43347,33930,1128,149
2025-06-30 17:34:24,27,2025,2403,34932,2130,149
2025-06-30 17:34:25,27,2025,28101,35936,3134,149
2025-06-30 17:34:26,27,2025,53799,36940,4138,149
2025-06-30 17:34:27,27,2025,12855,37944,5142,149
2025-06-30 17:34:28,27,2025,39659,38948,6146,149
2025-06-30 17:34:29,27,2025,64251,39952,7150,149
2025-06-30 17:34:30,27,2025,25519,40962,8160,149
2025-06-30 17:34:31,27,2025,31027,41966,9164,149
2025-06-30 17:34:32,27,2025,36253,42968,10166,149
2025-06-30 17:34:33,27,2025,41479,43974,11172,149
2025-06-30 17:34:34,27,2025,47811,44978,12176,149
2025-06-30 17:34:35,27,2025,51931,45982,13180,149
2025-06-30 17:34:36,27,2025,57157,46984,14182,149
2025-06-30 17:34:37,27,2025,63489,47988,15186,149
2025-06-30 17:34:38,27,2025,2073,48990,16188,149
2025-06-30 17:34:39,27,2025,11723,50006,17204,149
2025-06-30 17:34:40,27,2025,16949,51012,18210,149
2025-06-30 17:34:41,27,2025,23281,52016,19214,149
2025-06-30 17:34:42,27,2025,28507,53022,20220,149
2025-06-30 17:34:43,27,2025,33733,54024,21222,149
2025-06-30 17:34:44,27,2025,40065,55028,22226,149
2025-06-30 17:34:45,27,2025,47503,56038,23236,149
2025-06-30 17:34:46,27,2025,51623,57042,24240,149
2025-06-30 17:34:47,27,2025,62379,58060,25258,149
2025-06-30 17:34:48,27,2025,2069,59064,26262,149
2025-06-30 17:34:49,27,2025,11719,60082,27280,149
2025-06-30 17:34:50,27,2025,20263,61094,28292,149
2025-06-30 17:34:51,27,2025,13297,62098,29296,149
2025-06-30 17:34:52,27,2025,15729,63100,30298,149
2025-06-30 17:34:53,27,2025,15729,64104,31302,150
2025-06-30 17:34:54,27,2025,15749,65108,32306,150
2025-06-30 17:34:55,27,2025,36635,574,33308,150
2025-06-30 17:34:56,27,2025,38688,1586,34320,150
2025-06-30 17:34:57,27,2025,28199,2588,35322,150
2025-06-30 17:34:58,27,2025,13017,3592,36326,150
2025-06-30 17:34:59,27,2025,15529,4608,37342,150
2025-06-30 17:35:00,27,2025,188,5612,38346,150
2025-06-30 17:35:01,27,2025,21092,6618,39352,150
2025-06-30 17:35:02,27,2025,41996,7620,40354,150
2025-06-30 17:35:03,27,2025,62900,8624,41358,150
2025-06-30 17:35:04,27,2025,18268,9628,42362,150
2025-06-30 17:35:05,27,2025,43596,10632,43366,150
2025-06-30 17:35:06,27,2025,60076,11636,44370,150
2025-06-30 17:35:07,27,2025,7722,12638,45372,150
2025-06-30 17:35:08,27,2025,20386,13644,46378,150
2025-06-30 17:35:09,27,2025,35262,14652,47386,150
2025-06-30 17:35:10,27,2025,43502,15654,48388,150
2025-06-30 17:35:11,27,2025,58378,16662,49396,150
2025-06-30 17:35:12,27,2025,1082,17666,50400,150
2025-06-30 17:35:13,27,2025,15958,18676,51410,150
2025-06-30 17:35:14,27,2025,28622,19680,52414,150
2025-06-30 17:35:15,27,2025,39074,20684,53418,150
2025-06-30 17:35:16,27,2025,49526,21688,54422,150
2025-06-30 17:35:17,27,2025,62190,22692,55426,150
2025-06-30 17:35:18,27,2025,4894,23696,56430,150
2025-06-30 17:35:19,27,2025,9885,24702,57436,150
2025-06-30 17:35:20,27,2025,14005,25706,58440,150
2025-06-30 17:35:21,27,2025,20337,26710,59444,150
2025-06-30 17:35:22,27,2025,25563,27714,60448,150
2025-06-30 17:35:23,27,2025,30789,28718,61452,150
2025-06-30 17:35:24,27,2025,37121,29722,62456,150
2025-06-30 17:35:25,27,2025,42347,30728,63462,150
2025-06-30 17:35:26,27,2025,48679,31732,64466,150
2025-06-30 17:35:27,27,2025,52799,32736,65470,150
2025-06-30 17:35:28,27,2025,60237,33742,940,150
2025-06-30 17:35:29,27,2025,64357,34746,1944,150
2025-06-30 17:35:30,27,2025,5153,35750,2948,150
2025-06-30 17:35:31,27,2025,10379,36754,3952,150
2025-06-30 17:35:32,27,2025,15605,37758,4956,150
2025-06-30 17:35:33,27,2025,21937,38762,5960,150
2025-06-30 17:35:34,27,2025,26057,39766,6964,150
2025-06-30 17:35:35,27,2025,33495,40772,7970,150
2025-06-30 17:35:36,27,2025,37615,41774,8972,150
2025-06-30 17:35:37,27,2025,42841,42778,9976,150
2025-06-30 17:35:38,27,2025,49173,43782,10980,150
2025-06-30 17:35:39,27,2025,53293,44786,11984,150
2025-06-30 17:35:40,27,2025,59625,45790,12988,150
2025-06-30 17:35:41,27,2025,64851,46794,13992,150
2025-06-30 17:35:42,27,2025,4541,47798,14996,150
2025-06-30 17:35:43,27,2025,9767,48800,15998,150
2025-06-30 17:35:44,27,2025,7496,49806,17004,150
2025-06-30 17:35:45,27,2025,43430,50810,18008,150
2025-06-30 17:35:46,27,2025,13275,51812,19010,150
2025-06-30 17:35:47,27,2025,48103,52816,20014,150
2025-06-30 17:35:48,27,2025,18501,53820,21018,150
2025-06-30 17:35:49,27,2025,53882,54826,22024,150
2025-06-30 17:35:50,27,2025,23727,55828,23026,150
2025-06-30 17:35:51,27,2025,59661,56832,24030,150
2025-06-30 17:35:52,27,2025,15729,57836,25034,150
2025-06-30 17:35:53,27,2025,15729,58840,26038,151
2025-06-30 17:35:54,27,2025,39341,59844,27042,151
2025-06-30 17:35:55,27,2025,60253,60848,28046,151
2025-06-30 17:35:56,27,2025,12496,61850,29048,151
2025-06-30 17:35:57,27,2025,15063,62854,30052,151
2025-06-30 17:35:58,27,2025,56570,63858,31056,151
2025-06-30 17:35:59,27,2025,41388,64862,32060,151
2025-06-30 17:36:00,27,2025,8732,332,33066,151
2025-06-30 17:36:01,27,2025,34060,1336,34070,151
2025-07-01 09:16:56,27,2025,43259,20170,52904,1092
2025-07-01 09:16:57,27,2025,39361,21174,53908,1092
2025-07-01 09:16:58,27,2025,15332,22180,54914,1092
2025-07-01 09:16:59,27,2025,56839,23182,55916,1092
2025-07-01 09:17:00,27,2025,32810,24186,56920,1092
2025-07-01 09:17:01,27,2025,13372,25196,57930,1092
